JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
YFCATPMW,RCATSTPM,USA WEEKLY,MFPR,001,YFCATPMW_001,,
YFCCGSKF,ZFI_SKF_COSTCENTER_GROUPS,UPDATE CC GRP,BVMC,001,YFCCGSKF_001,,COP
YFCCMEXE,ZCCM_EXCEPTION_EMAIL,PRD-RUN,LP01,001,YFCCMEXE_001,,COP
YFCCMGLA,ZCCM_GLOG_ALERT,PRD-RUN,LP01,001,YFCCMGLA_001,,COP
YFCCMPDP,ZCCM_PD_PM_SEVEN_DAY_RULE,SURMONT,LP01,001,YFCCMPDP_001,,COP
YFCCMREE,ZCCM_RULES_ENGINE_SUBMIT,APLNG,LOCL,001,YFCCMREE_001,,COP
YFCCMRES,ZCCM_RULES_ENGINE_SUBMIT,SURMONT,LP01,001,YFCCMRES_001,,COP
YFCDOICU,ZDOICU_LOAD_CSE,PRODUCTION RUN,BVMK,001,YFCDOICU_001,,COP
YFCFAP1T,Z_CARRYFORWARD_VARIANT_UPDATE,CF AP TEST,MFPR,001,YFCFAP1T_001,,COP
YFCFAR1P,Z_CARRYFORWARD_VARIANT_UPDATE,CF AR UPDT,MFPR,001,YFCFAR1P_001,,COP
YFCFAR1T,Z_CARRYFORWARD_VARIANT_UPDATE,CF AR TEST,MFPR,001,YFCFAR1T_001,,COP
YFCFCDA1,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST DTL1 AF,MFPR,001,YFCFCDA1_001,,COP
YFCFCDA2,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST DTL2 AF,MFPR,001,YFCFCDA2_001,,COP
YFCFCDB1,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST DTL1 B4,MFPR,001,YFCFCDB1_001,,COP
YFCFCDB2,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST DTL2 B4,MFPR,001,YFCFCDB2_001,,COP
YFCFCSA1,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST SUM1 AF,MFPR,001,YFCFCSA1_001,,COP
YFCFCSA2,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST SUM2 AF,MFPR,001,YFCFCSA2_001,,COP
YFCFCSB1,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST SUM1 B4,MFPR,001,YFCFCSB1_001,,COP
YFCFCSB2,Z_CARRYFORWARD_VARIANT_UPDATE,CF CST SUM2 B4,MFPR,001,YFCFCSB2_001,,COP
YFCFFI1P,Z_CARRYFORWARD_VARIANT_UPDATE,CF FI10 RPT,MFPR,001,YFCFFI1P_001,,COP
YFCFFI1T,Z_CARRYFORWARD_VARIANT_UPDATE,CF FI TEST,MFPR,001,YFCFFI1T_001,,COP
YFCFJVAP,Z_CARRYFORWARD_VARIANT_UPDATE,CF JV A,MFPR,001,YFCFJVAP_001,,COP
YFCFJVBP,Z_CARRYFORWARD_VARIANT_UPDATE,CF JV B,MFPR,001,YFCFJVBP_001,,COP
YFCFJVHP,RGJVCF00,CF JV HZ,MFPR,001,YFCFJVHP_001,,COP
YFCFJVLP,RGJVCF00,CF JV NANN,MFPR,001,YFCFJVLP_001,,COP
YFCFJVMP,RGJVCF00,CF JV BH01,MFPR,001,YFCFJVMP_001,,COP
YFCFLJSP,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL JS UPDT,MFPR,001,YFCFLJSP_001,,COP
YFCFLJST,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL JS TEST,MFPR,001,YFCFLJST_001,,COP
YFCFLOTP,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL ZS UPDT,MFPR,001,YFCFLOTP_001,,COP
YFCFLOTT,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL ZS TEST,MFPR,001,YFCFLOTT_001,,COP
YFCFLR0T,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL R0 TEST,MFPR,001,YFCFLR0T_001,,COP
YFCFLS1P,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL S1 UPDT,MFPR,001,YFCFLS1P_001,,COP
YFCFLS1T,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL S1 TEST,MFPR,001,YFCFLS1T_001,,COP
YFCFLT1P,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL T1 UPDT,MFPR,001,YFCFLT1P_001,,COP
YFCFLT1T,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL T1 TEST,MFPR,001,YFCFLT1T_001,,COP
YFCFLZ4P,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL Z4 UPDT,MFPR,001,YFCFLZ4P_001,,COP
YFCFLZ4T,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL Z4 TEST,MFPR,001,YFCFLZ4T_001,,COP
YFCFLZJP,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL ZJ UPDT,MFPR,001,YFCFLZJP_001,,COP
YFCFLZJT,Z_CARRYFORWARD_VARIANT_UPDATE,CF SPL ZJ TEST,MFPR,001,YFCFLZJT_001,,COP
YFCFPCAP,Z_CARRYFORWARD_VARIANT_UPDATE,CF PCA UPDT,MFPR,001,YFCFPCAP_001,,COP
YFCFPCAT,Z_CARRYFORWARD_VARIANT_UPDATE,CF PCA TEST,MFPR,001,YFCFPCAT_001,,COP
YFCFPE1P,RFBILA00,CF PEN FI B4,MFPR,001,YFCFPE1P_001,,COP
YFCFPE1T,SAPFGVTR,CF PEN FI TEST,MFPR,001,YFCFPE1T_001,,COP
YFCFRPTS,ZYRBSCZJ,CF ZJ YEAR END,MFPR,001,YFCFRPTS_001,,COP
YFCFVDA1,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND DTL1 AF,MFPR,001,YFCFVDA1_001,,COP
YFCFVDA2,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND DTL2 AF,MFPR,001,YFCFVDA2_001,,COP
YFCFVDB1,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND DTL1 B4,MFPR,001,YFCFVDB1_001,,COP
YFCFVDB2,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND DTL2 B4,MFPR,001,YFCFVDB2_001,,COP
YFCFVSA1,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND SUM1 AF,MFPR,001,YFCFVSA1_001,,COP
